"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Pokémon XD: Gale of Darkness","975","2850","2","10","50","3.076923"
"2","Animal Crossing: New Leaf","525","2925","4","15","73","8.342857"
"3","Pokémon Stadium","465","2625","4","14","39","5.032258"
"4","Kirby & the Amazing Mirror","345","1590","3","7","21","3.652173"
"5","Animal Crossing: Wild World","195","945","3","8","11","3.384615"
"6","Pokémon: Let's Go, Pikachu!","150","225","1","3","7","2.8"
"7","Kirby Star Allies","120","120","0","3","3","1.5"
"8","Kirby's Adventure","105","225","2","3","37","21.142857"
"9","Animal Crossing","60","180","3","4","3","3"
"10","Super Smash Bros. Ultimate","60","210","3","4","1","1"
"11","The Legend of Zelda: Four Swords - Anniversary Edition","45","75","1","2","2","2.666666"
"12","The Legend of Zelda: Link's Awakening DX","45","75","2","3","4","5.333333"
"13","Pokémon Yellow Version: Special Pikachu Edition","30","15","0","1","3","6"
"14","Pokémon Stadium 2","15","30","2","2","0","0"
