"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Super Mario Maker","585","4440","6","13","119","12.205128"
"2","Games + Demos","405","2370","4","11","39","5.777777"
"3","Just Chatting","120","645","5","9","56","28"
"4","Twitch Sings","75","435","5","7","12","9.6"
"5","FIVE NIGHTS AT FREDDY'S: HELP WANTED","75","390","5","8","19","15.2"
"6","Minecraft","75","240","3","5","7","5.6"
"7","Last Day of June","75","450","6","22","78","62.4"
"8","VRChat","75","435","5","9","9","7.2"
"9","Overwatch","60","330","5","7","10","10"
"10","Pacify","60","435","7","8","14","14"
"11","Vacation Simulator","45","165","3","5","7","9.333333"
"12","Mafia II","45","870","19","26","72","96"
"13","Visage","30","90","3","3","4","8"
"14","Super Mario Maker 2","30","60","2","2","0","0"
"15","Dead by Daylight","15","15","1","1","4","16"
