"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Russian Fishing 4","4065","65415","15","36","1687","24.900369"
"2","SCUM","30","105","3","7","36","72"
