"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Fortnite","4650","40170","8","18","1159","14.954838"
"2","Tom Clancy's Rainbow Six Siege","2355","21825","8","19","619","15.7707"
"3","Neverwinter","1845","15780","7","15","569","18.504065"
"4","Just Chatting","1815","16560","8","18","1312","43.3719"
"5","Minecraft","975","10050","9","18","248","15.261538"
"6","Resident Evil: Revelations 2","705","8160","10","19","247","21.021276"
"7","Overwatch","600","5865","8","17","158","15.8"
"8","ARK: Survival Evolved","480","5190","10","16","110","13.75"
"9","Apex Legends","420","5205","11","16","100","14.285714"
"10","The Jackbox Party Pack","270","3555","13","18","60","13.333333"
"11","Jackbox Party Packs","255","3570","12","23","75","17.647058"
"12","The Jackbox Party Pack 4","240","4350","18","24","118","29.5"
"13","Dying Light","210","2670","12","17","90","25.714285"
"14","ROBLOX","195","1335","4","9","30","9.230769"
"15","Star Wars Battlefront II","150","1755","11","15","46","18.4"
"16","Unlisted on Twitch","105","690","7","12","29","16.571428"
"17","7 Days to Die","75","630","8","11","20","16"
"18","Blackwake","15","90","6","6","10","40"
