"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Apex Legends","2595","49740","14","269","2190","50.635838"
"2","League of Legends","1980","22950","10","29","1122","34"
"3","Minecraft","1470","17010","9","24","525","21.428571"
"4","Elite: Dangerous","660","6075","8","20","251","22.818181"
"5","Grand Theft Auto V","390","4440","10","33","268","41.230769"
"6","Travel & Outdoors","285","2010","7","12","105","22.105263"
"7","Unlisted on Twitch","270","3180","14","35","240","53.333333"
"8","Little Fighter","165","1410","8","11","58","21.090909"
"9","Teamfight Tactics","165","1425","8","12","67","24.363636"
"10","Sword Art Online: Fatal Bullet","135","645","4","7","19","8.444444"
"11","Just Chatting","120","885","6","9","36","18"
"12","ASMR","90","1110","12","20","92","61.333333"
"13","World War Z","60","255","4","6","24","24"
"14","World of Warcraft","30","90","3","4","5","10"
"15","Grand Theft Auto","15","150","10","10","30","120"
"16","Tom Clancy's Rainbow Six Siege","15","135","9","9","10","40"
