"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Unlisted on Twitch","945","82875","84","126","10071","639.428571"
"2","Just Chatting","450","27450","51","142","6939","925.2"
"3","Trover Saves the Universe","210","14760","69","97","2688","768"
"4","Wolfenstein: Youngblood","135","7995","59","69","882","392"
"5","Memorrha","90","7140","79","89","667","444.666666"
"6","Surviving Mars","75","3765","50","63","427","341.6"
"7","Void Bastards","60","3225","53","64","623","623"
"8","Teamfight Tactics","60","4500","75","79","416","416"
"9","She Sees Red","45","3105","69","93","142","189.333333"
"10","Iratus: Lord of the Dead","45","2685","59","75","441","588"
"11","Antihero","45","2205","49","62","65","86.666666"
"12","skribbl.io","15","1170","78","78","147","588"
"13","Waking","15","1350","90","90","350","1400"
