"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Friday 26th July 2019 09:11","https://sullygnome.com/channel/h9641034/stream/35048287152","214","1926","9","18","0","0","134","35","Blade &amp; Soul"
"2","Friday 26th July 2019 06:55","https://sullygnome.com/channel/h9641034/stream/35047632576","110","660","6","8","1","0","39","22","Blade &amp; Soul"
"3","Sunday 21st July 2019 05:00","https://sullygnome.com/channel/h9641034/stream/34985880640","330","3630","11","22","1","0","225","39","Blade &amp; Soul"
