"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Minecraft","1725","9075","4","15","504","17.530434"
"2","Magic: The Gathering","300","1095","3","7","85","17"
"3","Super Smash Bros. for Wii U","150","1035","5","10","27","10.8"
"4","Ultimate Chicken Horse","105","615","5","7","15","8.571428"
"5","Just Chatting","105","1020","8","12","24","13.714285"
"6","Decay: The Mare - Episode 1","90","540","6","8","17","11.333333"
"7","Decay: The Mare - Episode 2","90","495","5","7","14","9.333333"
"8","Borderlands 2","75","585","7","10","38","30.4"
"9","Katana ZERO","60","210","3","5","20","20"
"10","Celeste","60","195","3","4","15","15"
"11","The Long Dark","15","60","4","4","3","12"
