"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","The Legend of Zelda: Ocarina of Time","2475","86040","31","173","1730","41.939393"
"2","Danganronpa 2: Goodbye Despair","885","35190","37","57","413","28"
"3","Music","870","7515","8","18","295","20.344827"
"4","Super Smash Bros. Ultimate","510","12000","22","36","225","26.470588"
"5","Pokémon Stadium","270","12390","47","77","356","79.111111"
"6","Super Mario Sunshine","195","4770","24","30","167","51.384615"
"7","Super Mario World","195","13425","68","124","407","125.230769"
"8","Borderlands","165","2760","16","20","233","84.727272"
"9","Super Mario Maker 2","135","3165","23","30","84","37.333333"
"10","Mario Party 5","45","2520","56","60","68","90.666666"
"11","Pokémon Stadium 2","30","1155","38","43","20","40"
