"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Spyro the Dragon","3405","89655","26","54","1306","23.013215"
"2","Spyro: Year of the Dragon","1005","38280","35","87","630","37.61194"
"3","Crash Bash","480","13230","27","45","196","24.5"
"4","Spyro 2: Ripto's Rage!","120","2850","23","37","46","23"
