"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","PUBG: BATTLEGROUNDS","1125","12450","9","54","1375","73.333333"
"2","Counter-Strike: Global Offensive","1095","9735","8","37","888","48.657534"
"3","Just Chatting","315","2355","8","12","187","35.619047"
"4","Teamfight Tactics","300","1800","5","11","216","43.2"
"5","Minecraft","150","1230","7","12","90","36"
"6","VRChat","150","765","4","9","94","37.6"
"7","Slapshot","75","690","8","25","221","176.8"
"8","Life is Strange","45","285","6","8","26","34.666666"
"9","Rust","30","165","5","6","36","72"
"10","League of Legends","15","30","2","2","7","28"
