"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","DARK SOULS III","645","3450","4","8","130","12.093023"
"2","Idle Heroes","525","49515","73","179","802","91.657142"
"3","Hearthstone","105","1245","11","18","34","19.428571"
"4","Rocket League","15","480","32","32","0","0"
