"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Counter-Strike: Global Offensive","3240","8940","2","11","1465","27.129629"
"2","Dead by Daylight","2400","12555","4","13","1033","25.825"
"3","Just Chatting","1155","4005","2","10","692","35.948051"
"4","Overwatch","270","690","2","6","119","26.444444"
"5","Teamfight Tactics","195","510","2","6","70","21.538461"
"6","Fortnite","120","420","3","7","37","18.5"
"7","The Long Dark","60","150","2","3","35","35"
"8","Apex Legends","60","135","2","3","36","36"
"9","Warframe","15","15","1","1","6","24"
"10","Enter the Gungeon","15","30","2","2","11","44"
