"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Heroes of the Storm","480","4470","8","16","236","29.5"
"2","Deep Rock Galactic","330","3180","8","15","330","60"
"3","Just Chatting","285","5730","20","27","224","47.157894"
"4","Satisfactory","240","2460","10","15","181","45.25"
"5","Black Desert","105","1380","13","15","87","49.714285"
"6","World of Warcraft","105","1800","17","20","92","52.571428"
"7","Dota Underlords","90","705","7","10","50","33.333333"
"8","Killing Floor 2","45","285","6","10","24","32"
"9","Guild Wars 2","30","420","14","16","44","88"
"10","Viscera Cleanup Detail: Santa's Rampage","15","285","19","19","0","0"
"11","Overwatch","15","105","7","7","12","48"
"12","Teamfight Tactics","15","240","16","16","15","60"
"13","The Elder Scrolls Online","15","225","15","15","15","60"
"14","Apex Legends","15","210","14","14","12","48"
