"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Auto Chess","2940","407625","132","450","8923","182.10204"
"2","Clash Royale","1905","287475","150","306","6932","218.330708"
"3","The Legend of Zelda: Breath of the Wild","990","76830","80","115","5485","332.424242"
"4","Super Mario Maker 2","930","85245","89","137","2185","140.967741"
"5","Teamfight Tactics","840","64365","76","106","1959","139.928571"
"6","Fortnite","555","48660","87","134","1756","189.837837"
"7","Just Chatting","285","29490","103","138","659","138.736842"
"8","Marbles on Stream","255","26175","98","126","677","159.294117"
"9","Minecraft","225","23820","104","134","844","225.066666"
"10","Pogostuck: Rage With Your Friends","105","11505","109","119","380","217.142857"
