"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Sekiro: Shadows Die Twice","1890","13425","6","15","259","8.222222"
"2","God Eater 3","1065","6930","6","12","158","8.901408"
"3","Sea of Thieves","795","4485","5","11","52","3.924528"
"4","Monster Hunter: World","705","4380","5","17","78","6.638297"
"5","Metal Gear Solid","555","4215","6","14","79","8.54054"
"6","NieR","525","3285","5","11","40","4.571428"
"7","Rocket League","525","2505","4","17","70","8"
"8","Hyrule Warriors","120","360","3","5","2","1"
"9","Cadence of Hyrule: Crypt of the NecroDancer Featuring the Legend of Zelda","120","1485","12","15","10","5"
