"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","FIFA 19","1215","171240","143","234","8302","409.975308"
"2","Just Chatting","690","89325","122","224","9055","787.391304"
"3","The Blackout Club","480","34200","70","109","3678","459.75"
"4","Grand Theft Auto V","480","54765","110","156","3705","463.125"
"5","Fortnite","465","52560","94","175","2756","355.612903"
"6","Leisure Suit Larry: Wet Dreams Don't Dry","465","53160","109","155","2144","276.645161"
"7","The Sims 4","390","35880","94","123","2783","428.153846"
"8","DayZ","270","28245","96","156","1203","267.333333"
"9","Tom Clancy's Rainbow Six Siege","255","25320","99","128","1414","332.705882"
"10","The Game of Life","210","14625","67","102","453","129.428571"
"11","Apex Legends","135","13815","94","134","691","307.111111"
"12","Skylanders: Swap Force","90","7470","83","134","506","337.333333"
"13","Marbles on Stream","75","7920","105","122","429","343.2"
"14","Call of Duty: Black Ops III","60","8010","136","142","527","527"
"15","Call of Duty: Black Ops 4","45","4995","111","124","318","424"
"16","Damned","45","4095","91","108","569","758.666666"
