"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Fortnite","5160","35640","6","16","1874","21.790697"
"2","Just Chatting","810","5310","5","16","323","23.925925"
"3","Counter-Strike: Global Offensive","780","3525","5","12","202","15.538461"
"4","Horizon Zero Dawn","150","1215","8","12","96","38.4"
"5","Resident Evil 2","150","720","3","8","26","10.4"
"6","skribbl.io","120","990","8","11","36","18"
"7","Dead by Daylight","90","630","7","9","31","20.666666"
"8","Battalion 1944","90","270","2","4","42","28"
"9","Detroit: Become Human","75","540","7","10","32","25.6"
"10","Vampyr","75","225","3","5","19","15.2"
"11","Overwatch","60","255","4","6","24","24"
"12","Apex Legends","45","360","8","10","18","24"
"13","Battlefield V","30","150","5","5","25","50"
"14","Tom Clancy's Rainbow Six Siege","30","120","4","6","17","34"
"15","Rust","15","75","5","5","19","76"
"16","PUBG: BATTLEGROUNDS","15","45","3","3","6","24"
