"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Super Animal Royale","465","4485","8","26","123","15.870967"
"2","Resident Evil","330","1605","4","9","40","7.272727"
"3","Doki Doki Literature Club!","285","1920","6","11","52","10.947368"
"4","D4: Dark Dreams Don't Die - Season 1","270","1110","4","10","46","10.222222"
"5","Golf With Your Friends","135","1440","13","19","46","20.444444"
"6","Dead by Daylight","105","555","5","9","23","13.142857"
"7","Stardew Valley","75","540","7","9","9","7.2"
"8","Five Nights at Freddy's","60","435","7","9","8","8"
"9","Games + Demos","60","840","14","16","32","32"
"10","Friday the 13th: The Game","45","255","5","6","12","16"
"11","Monster Prom","45","630","14","16","11","14.666666"
"12","Two Point Hospital","45","285","6","10","34","45.333333"
"13","Cry of Fear","15","60","4","4","0","0"
