"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Silent Hill 2","465","5145","10","24","85","10.967741"
"2","Tabletop Simulator","420","2745","6","10","62","8.857142"
"3","Dark Souls","390","3165","6","12","49","7.538461"
"4","The Last of Us","330","3105","9","12","33","6"
"5","The Witcher 3: Wild Hunt","210","1815","8","12","24","6.857142"
"6","Fallout 4","105","930","8","17","18","10.285714"
