"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Grand Theft Auto V","900","3675","2","14","159","10.6"
"2","ARK: Survival Evolved","690","1890","2","15","98","8.521739"
"3","Bayonetta","660","3480","3","18","137","12.454545"
"4","Black Mesa","645","1020","1","3","48","4.465116"
"5","Just Chatting","225","405","1","3","20","5.333333"
"6","The Elder Scrolls Online","105","345","3","7","16","9.142857"
"7","Dark Souls","105","390","3","6","12","6.857142"
"8","Path of Exile","90","285","2","7","14","9.333333"
"9","Onimusha: Warlords","60","120","1","3","4","4"
"10","Postal 2","45","45","1","1","1","1.333333"
"11","Serious Sam 3: BFE","30","150","5","8","0","0"
"12","Counter-Strike: Global Offensive","30","60","2","2","1","2"
"13","Quake II","15","15","1","1","5","20"
