"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","World of Warcraft","1560","110055","67","164","22154","852.076923"
"2","Teamfight Tactics","1305","89565","63","163","12951","595.448275"
"3","FINAL FANTASY VII","930","44595","52","115","6534","421.548387"
"4","Battlefield V","840","77070","89","152","18797","1342.642857"
"5","Talk Shows & Podcasts","285","13470","43","108","1806","380.210526"
"6","Special Events","240","24630","91","154","4137","1034.25"
"7","Rocket League","210","7890","35","52","450","128.571428"
"8","Overwatch","195","12075","61","83","646","198.76923"
"9","NieR: Automata","165","6735","40","50","342","124.363636"
"10","Apex Legends","120","6045","50","54","212","106"
"11","League of Legends","120","6495","54","58","341","170.5"
"12","Fortnite","90","2910","32","47","647","431.333333"
"13","Black Desert","90","8280","92","108","1708","1138.666666"
"14","Counter-Strike: Global Offensive","75","2550","34","43","234","187.2"
"15","skribbl.io","60","1995","33","40","206","206"
"16","Just Chatting","45","1050","23","59","178","237.333333"
"17","Twitch Sings","45","1185","26","46","191","254.666666"
"18","PUBG: BATTLEGROUNDS","30","1395","46","53","175","350"
"19","Music","15","1275","85","85","515","2060"
