"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Arma 3","1995","17670","7","31","471","14.165413"
"2","FINAL FANTASY XIV ONLINE","585","4740","7","21","208","21.333333"
"3","Insurgency: Sandstorm","420","4155","9","31","146","20.857142"
"4","Overwatch","210","4515","17","36","189","54"
"5","World of Warships","120","855","7","12","20","10"
"6","Post Scriptum","120","2445","20","23","42","21"
"7","Dead Cells","90","1035","11","14","38","25.333333"
"8","Squad","60","375","6","8","22","22"
"9","Overcooked!","45","810","18","21","20","26.666666"
"10","Just Chatting","45","210","4","9","12","16"
"11","Bean Battles","30","765","25","35","69","138"
