"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Call of Duty: WWII","1500","28350","17","35","406","16.24"
"2","The Golf Club 2019 featuring PGA Tour","1230","17025","11","33","675","32.926829"
"3","Fortnite","600","8070","13","22","133","13.3"
"4","Grand Theft Auto V","510","9330","15","31","123","14.470588"
"5","Super Mario Sunshine","195","3435","17","27","33","10.153846"
"6","Far Cry 5","165","1770","10","18","21","7.636363"
"7","Just Chatting","150","2370","15","23","59","23.6"
"8","Apex Legends","150","2115","13","18","66","26.4"
"9","Harry Potter and the Prisoner of Azkaban","90","555","6","9","29","19.333333"
"10","Halo: The Master Chief Collection","75","930","12","14","15","12"
"11","Skate 3","45","600","14","16","7","9.333333"
"12","Guitar Hero III: Legends of Rock","30","285","9","11","6","12"
"13","Rocket League","15","135","9","9","7","28"
