"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","The Sims 4","585","8280","13","26","166","17.025641"
"2","Nancy Drew: Labyrinth of Lies","480","6120","12","18","128","16"
"3","Tomato Way","180","2460","14","17","19","6.333333"
"4","Dead by Daylight","45","720","16","17","31","41.333333"
