"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Apex Legends","11475","978015","82","233","46429","242.766013"
"2","Unlisted on Twitch","150","6030","40","53","657","262.8"
"3","Just Chatting","45","2445","54","57","176","234.666666"
