"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Dead by Daylight","2100","12810","5","11","498","14.228571"
"2","Dota 2","1845","7515","3","8","273","8.878048"
"3","PUBG: BATTLEGROUNDS","795","5535","6","12","114","8.603773"
"4","Deadpool","330","2325","7","10","48","8.727272"
"5","Anna","285","1020","3","5","22","4.631578"
"6","Amnesia: A Machine for Pigs","165","645","3","8","15","5.454545"
"7","Year Walk","120","465","3","6","10","5"
"8","Just Chatting","90","510","5","9","13","8.666666"
"9","Homesick","60","285","4","5","2","2"
"10","Deadpool","30","210","7","7","28","56"
