"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","theHunter: Call of the Wild","2220","16995","7","27","1020","27.567567"
"2","Heat","1500","7380","4","9","387","15.48"
"3","Sniper Elite 4","360","2700","7","9","48","8"
"4","Outlaws of the Old West","240","1230","5","8","40","10"
"5","Overwatch","225","1290","6","10","29","7.733333"
"6","Conan Exiles","195","1035","4","8","17","5.230769"
"7","FIA European Truck Racing Championship","180","1245","6","8","30","10"
"8","Green Hell","165","1380","8","11","33","12"
"9","Marbles on Stream","135","1230","9","14","45","20"
"10","Force of Nature","135","1215","9","12","9","4"
"11","House Flipper","90","600","6","9","15","10"
"12","Coffin Dodgers","90","1020","11","16","27","18"
"13","Euro Truck Simulator 2","75","870","11","15","44","35.2"
