"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Super Mario Maker 2","2580","178845","66","124","2603","60.534883"
"2","Pokémon Omega Ruby/Alpha Sapphire","720","48825","67","86","755","62.916666"
"3","Marvel's Spider-Man","570","23115","40","55","536","56.421052"
"4","Baba is You","180","14385","77","104","99","33"
"5","Dragon Quest Builders 2","165","7365","44","58","139","50.545454"
"6","Crash Team Racing Nitro-Fueled","165","14100","85","97","208","75.636363"
"7","Super Smash Bros. Ultimate","90","7995","88","93","232","154.666666"
"8","Just Chatting","75","4050","50","84","865","692"
"9","Food & Drink","75","7290","97","106","148","118.4"
"10","Mario Kart 8","60","5745","95","106","130","130"
