"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Hollow Knight","1620","9690","5","14","155","5.74074"
"2","Life is Strange","390","2985","6","14","41","6.307692"
"3","Game Dev Tycoon","210","1785","8","12","38","10.857142"
"4","Kerbal Space Program","180","1560","8","11","28","9.333333"
"5","Grand Theft Auto V","135","885","6","9","20","8.888888"
"6","Stardew Valley","135","900","6","11","25","11.111111"
"7","Sekiro: Shadows Die Twice","135","705","5","8","15","6.666666"
"8","skribbl.io","120","1425","11","15","10","5"
"9","Spore","120","1425","11","14","23","11.5"
"10","League of Legends","75","495","6","8","21","16.8"
"11","Cook, Serve, Delicious!","60","495","8","9","14","14"
"12","Little Inferno","45","375","8","9","1","1.333333"
"13","For Honor","45","375","8","9","12","16"
"14","Just Chatting","30","390","13","15","2","4"
"15","Tetris","15","135","9","9","1","4"
