"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Unlisted on Twitch","810","1290","1","3","7","0.518518"
"2","Sea of Thieves","315","1155","3","10","23","4.380952"
"3","Apex Legends","270","435","1","3","18","4"
"4","Destiny 2","165","255","1","3","8","2.90909"
"5","Red Dead Redemption 2","165","225","1","2","4","1.454545"
"6","SCUM","150","780","4","9","34","13.6"
"7","Grand Theft Auto V","135","135","1","1","0","0"
"8","Minecraft","60","90","1","2","2","2"
"9","Rocket League","60","60","1","1","2","2"
"10","CRSED: F.O.A.D.","60","105","1","2","5","5"
"11","KurtzPel","45","45","1","1","1","1.333333"
"12","The Mean Greens: Plastic Warfare","45","60","1","2","3","4"
"13","Marvel's Spider-Man","30","0","0","0","1","2"
"14","Yu-Gi-Oh! Duel Links","15","45","3","3","0","0"
