"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","FINAL FANTASY XIV ONLINE","555","2820","5","8","13","1.405405"
"2","DARK SOULS III","510","2940","5","11","8","0.941176"
"3","Yakuza 0","360","1650","4","7","20","3.333333"
"4","Science & Technology","345","1320","3","7","32","5.565217"
"5","Surviving Mars","225","735","3","7","9","2.4"
"6","Remember Me","180","660","3","6","2","0.666666"
"7","Borderlands 2","165","945","5","7","8","2.90909"
"8","Volantia: Kingdom in the Sky","120","225","1","3","9","4.5"
"9","Portal 2","90","570","6","8","4","2.666666"
"10","Hue","90","210","2","3","2","1.333333"
"11","Slime Rancher","60","195","3","5","3","3"
