"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Black Desert","2115","17535","6","20","734","20.822695"
"2","Teamfight Tactics","1680","7965","4","10","231","8.25"
"3","Just Chatting","1470","6825","3","16","388","15.836734"
"4","Hollow Knight","1305","6045","4","14","145","6.666666"
"5","Path of Exile","1095","3645","3","11","124","6.79452"
"6","Minecraft","1050","5805","5","12","99","5.657142"
"7","Tekken 7","1035","9315","8","21","248","14.376811"
"8","League of Legends","180","930","5","7","14","4.666666"
"9","Dungeon Fighter Online","165","405","2","5","14","5.090909"
"10","Tom Clancy's Rainbow Six Siege","120","795","6","7","12","6"
"11","A Dance of Fire and Ice","75","570","7","8","24","19.2"
"12","My Future Girlfriend Greeted Me","45","210","4","5","13","17.333333"
"13","Monster Hunter: World","30","165","5","6","5","10"
