"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Rust","2865","685485","238","497","11797","247.057591"
"2","RimWorld","1725","154350","84","240","3622","125.982608"
"3","Path of Exile","1620","110715","84","168","2094","77.555555"
"4","Deep Rock Galactic","1515","104430","68","96","1966","77.861386"
"5","Counter-Strike","885","67020","65","208","1030","69.830508"
"6","Squad","615","48615","75","110","1570","153.170731"
"7","DayZ","405","56205","134","258","773","114.518518"
"8","Minecraft","330","27300","73","111","483","87.818181"
"9","Wolfenstein: Youngblood","135","7530","55","62","273","121.333333"
"10","Apex Legends","120","13155","109","140","71","35.5"
"11","Overwatch","105","5040","48","55","103","58.857142"
"12","Just Chatting","75","3435","45","64","235","188"
"13","League of Legends","75","5475","73","78","71","56.8"
