"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Just Chatting","615","158280","200","1479","47681","4651.804878"
"2","Counter-Strike: Global Offensive","540","21030","38","79","5539","615.444444"
"3","Teamfight Tactics","540","112815","223","1558","50010","5556.666666"
"4","Art","210","4710","26","46","602","172"
"5","League of Legends","195","5010","30","67","418","128.615384"
"6","The Sims 4","165","4530","27","37","948","344.727272"
"7","Twitch Sings","165","2670","15","22","334","121.454545"
"8","Dead by Daylight","150","2880","19","29","1522","608.8"
"9","Minecraft","120","196545","1637","1811","100700","50350"
"10","Stardew Valley","105","1845","17","22","326","186.285714"
"11","Unlisted on Twitch","15","285","19","19","184","736"
