"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Sunday 28th July 2019 13:00","https://sullygnome.com/channel/highhand978/stream/35073263552","135","675","5","12","0","0","44","17","Blade &amp; Soul"
"2","Friday 26th July 2019 14:15","https://sullygnome.com/channel/highhand978/stream/35050043024","105","105","1","4","0","0","11","5","Blade &amp; Soul"
"3","Thursday 18th July 2019 14:45","https://sullygnome.com/channel/highhand978/stream/34950634704","90","180","2","5","0","0","33","13","Blade &amp; Soul"
"4","Wednesday 17th July 2019 14:45","https://sullygnome.com/channel/highhand978/stream/34938474144","60","60","1","3","0","0","11","8","Blade &amp; Soul"
"5","Wednesday 17th July 2019 14:15","https://sullygnome.com/channel/highhand978/stream/34938093328","0","0","0","1","0","0","5","20","Blade &amp; Soul"
"6","Sunday 14th July 2019 13:00","https://sullygnome.com/channel/highhand978/stream/34900477264","165","330","2","7","0","0","26","8","Blade &amp; Soul"
"7","Saturday 13th July 2019 16:30","https://sullygnome.com/channel/highhand978/stream/34889891680","15","15","1","2","0","0","5","10","Blade &amp; Soul"
"8","Saturday 13th July 2019 13:15","https://sullygnome.com/channel/highhand978/stream/34888200416","165","165","1","3","0","0","17","5","Blade &amp; Soul"
"9","Sunday 7th July 2019 13:36","https://sullygnome.com/channel/highhand978/stream/34813215216","114","228","2","4","0","0","15","6","Blade &amp; Soul"
"10","Saturday 6th July 2019 12:59","https://sullygnome.com/channel/highhand978/stream/34800699888","211","422","2","6","0","0","29","8","Blade &amp; Soul"
