"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Minecraft","3165","105450","32","166","7020","133.080568"
"2","Unlisted on Twitch","30","135","4","6","19","38"
