"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 16:57","https://sullygnome.com/channel/rogueknitter/stream/35112903840","168","2352","14","17","0","0","32","11","Makers &amp; Crafting"
"2","Saturday 27th July 2019 16:54","https://sullygnome.com/channel/rogueknitter/stream/35063539952","186","2418","13","26","7","2","35","10","Makers &amp; Crafting"
"3","Wednesday 24th July 2019 17:30","https://sullygnome.com/channel/rogueknitter/stream/35027703168","195","1755","9","12","1","0","20","6","Makers &amp; Crafting"
"4","Saturday 20th July 2019 16:59","https://sullygnome.com/channel/rogueknitter/stream/34977790016","196","1568","8","14","2","0","14","4","Makers &amp; Crafting"
"5","Wednesday 17th July 2019 16:59","https://sullygnome.com/channel/rogueknitter/stream/34939796672","181","1629","9","13","3","0","14","4","Makers &amp; Crafting"
"6","Saturday 13th July 2019 17:00","https://sullygnome.com/channel/rogueknitter/stream/34890276112","180","1440","8","11","0","0","10","3","Makers &amp; Crafting"
"7","Wednesday 10th July 2019 17:15","https://sullygnome.com/channel/rogueknitter/stream/34852568976","165","3300","20","28","8","2","53","17","Makers &amp; Crafting"
"8","Saturday 6th July 2019 17:00","https://sullygnome.com/channel/rogueknitter/stream/34802888080","195","2145","11","22","2","0","43","12","Makers &amp; Crafting"
"9","Friday 5th July 2019 15:22","https://sullygnome.com/channel/rogueknitter/stream/34789248352","83","664","8","13","0","0","13","8","Makers &amp; Crafting"
"10","Wednesday 3rd July 2019 16:59","https://sullygnome.com/channel/rogueknitter/stream/34766257520","196","1176","6","9","1","0","24","6","Makers &amp; Crafting"
