"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","FINAL FANTASY VII","2925","34215","11","29","358","7.343589"
"2","Yakuza 0","1590","12870","7","16","267","10.075471"
"3","Cruise for a Corpse","1080","13410","12","20","129","7.166666"
"4","Retro","675","11685","16","24","124","11.022222"
"5","Arabian Nights: Sabaku no Seirei-ō","660","6630","9","14","65","5.90909"
"6","Infidel","465","4455","8","15","69","8.903225"
"7","Total Eclipse Turbo","405","3870","8","16","41","6.074074"
"8","Cuphead","360","2940","7","18","39","6.5"
"9","Just Chatting","285","4575","16","23","160","33.68421"
"10","E.T. The Extra-Terrestrial: Escape from Planet Earth","255","3120","13","20","42","9.882352"
"11","Robotrek","150","1665","11","16","26","10.4"
"12","Pocket Bomberman","120","2430","20","22","16","8"
"13","Super Star Wars","105","840","8","14","16","9.142857"
"14","The Lion King","90","1335","14","17","33","22"
"15","North & South","60","720","12","18","6","6"
"16","American Tag-Team Wrestling","60","870","14","16","10","10"
"17","Galaxy Force II","45","720","16","17","6","8"
"18","North vs. South: The Great American Civil War","15","225","15","15","15","60"
"19","Cyber-Cop","15","150","10","10","6","24"
