"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Overwatch","2400","21930","9","31","643","16.075"
"2","Just Chatting","1800","13440","6","29","664","22.133333"
"3","Danganronpa: Trigger Happy Havoc","1065","7305","5","14","149","8.394366"
"4","MapleStory","615","4995","7","13","129","12.585365"
"5","9Dragons: Kung Fu Arena","585","3675","6","11","112","11.487179"
"6","Ori and the Blind Forest","465","3150","6","10","84","10.838709"
"7","UNDERTALE","450","3315","7","12","117","15.6"
"8","Portal","195","1845","9","13","56","17.230769"
"9","A Dance of Fire and Ice","180","1485","5","11","58","19.333333"
"10","PUBG: BATTLEGROUNDS","180","1095","6","12","93","31"
"11","Return of the Obra Dinn","120","615","5","6","12","6"
"12","Teamfight Tactics","105","660","6","8","11","6.285714"
"13","League of Legends","90","660","6","10","27","18"
"14","Hidden Folks","60","330","5","7","11","11"
"15","Games + Demos","60","495","8","9","27","27"
