"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","FIFA 19","1815","6420","2","10","209","6.90909"
"2","Tom Clancy's Rainbow Six Siege","1080","2475","1","7","105","5.833333"
"3","Battlefield 3","135","330","2","4","11","4.888888"
"4","Fortnite","120","330","2","4","9","4.5"
"5","Grand Theft Auto V","75","240","3","4","12","9.6"
"6","Fishing Sim World: Pro Tour","60","60","1","1","2","2"
"7","Dauntless","60","165","2","3","2","2"
"8","Ring of Elysium","30","60","2","3","4","8"
"9","Apex Legends","30","105","3","4","0","0"
"10","Pokémon GO","30","15","0","1","2","4"
