"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Escape from Tarkov","435","4365","8","50","219","30.206896"
"2","Battlefield 4","315","3075","9","16","56","10.666666"
"3","Tom Clancy's Rainbow Six Siege","165","1335","8","14","47","17.090909"
"4","Just Chatting","90","750","8","13","25","16.666666"
"5","Apex Legends","30","375","12","13","10","20"
