"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","League of Legends","975","2715","1","6","81","4.984615"
"2","World War 3","60","105","1","3","10","10"
"3","Squad","15","30","2","2","4","16"
"4","Call of Duty: Black Ops 4","15","15","1","1","0","0"
