"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 10:54","https://sullygnome.com/channel/liquidwifi/stream/35109929504","216","87048","403","586","19","5","5664","1618","The Simpsons: Hit &amp; Run"
"2","Tuesday 30th July 2019 11:14","https://sullygnome.com/channel/liquidwifi/stream/35096830688","301","189931","631","792","26","5","24217","4843","The Simpsons: Hit &amp; Run"
"3","Monday 29th July 2019 11:27","https://sullygnome.com/channel/liquidwifi/stream/35084352480","258","107586","417","614","24","5","8672","1927","The Simpsons: Hit &amp; Run"
"4","Sunday 28th July 2019 10:48","https://sullygnome.com/channel/liquidwifi/stream/35072439552","237","127032","536","804","28","7","13937","3484","The Simpsons: Hit &amp; Run"
"5","Friday 26th July 2019 10:59","https://sullygnome.com/channel/liquidwifi/stream/35048834736","346","109336","316","392","14","2","2142","357","The Simpsons: Hit &amp; Run"
"6","Thursday 25th July 2019 10:52","https://sullygnome.com/channel/liquidwifi/stream/35036773280","293","87900","300","370","15","3","1672","334","The Simpsons: Hit &amp; Run"
"7","Wednesday 24th July 2019 11:14","https://sullygnome.com/channel/liquidwifi/stream/35024640384","256","73728","288","457","13","2","1226","272","The Simpsons: Hit &amp; Run"
"8","Monday 22nd July 2019 10:47","https://sullygnome.com/channel/liquidwifi/stream/34999775776","283","90277","319","366","18","4","1526","339","The Simpsons: Hit &amp; Run"
"9","Saturday 20th July 2019 06:10","https://sullygnome.com/channel/liquidwifi/stream/34972946064","1325","666475","503","763","67","3","6645","298","The Simpsons: Hit &amp; Run,Super Paper Mario"
"10","Thursday 18th July 2019 10:45","https://sullygnome.com/channel/liquidwifi/stream/34949378416","255","79305","311","381","12","2","1052","247","The Simpsons: Hit &amp; Run"
"11","Wednesday 17th July 2019 15:50","https://sullygnome.com/channel/liquidwifi/stream/34939086688","205","59040","288","397","17","4","905","258","The Simpsons: Hit &amp; Run"
"12","Wednesday 17th July 2019 11:19","https://sullygnome.com/channel/liquidwifi/stream/34936966816","116","29928","258","347","6","3","556","278","The Simpsons: Hit &amp; Run"
"13","Tuesday 16th July 2019 10:45","https://sullygnome.com/channel/liquidwifi/stream/34924042224","225","76275","339","471","7","1","1309","327","The Simpsons: Hit &amp; Run"
"14","Monday 15th July 2019 10:40","https://sullygnome.com/channel/liquidwifi/stream/34911702864","260","87880","338","447","17","3","1739","386","The Simpsons: Hit &amp; Run"
"15","Sunday 14th July 2019 10:10","https://sullygnome.com/channel/liquidwifi/stream/34899347984","245","75460","308","385","4","0","1305","307","The Simpsons: Hit &amp; Run"
"16","Saturday 13th July 2019 10:55","https://sullygnome.com/channel/liquidwifi/stream/34887199616","305","97295","319","429","15","2","1470","280","The Simpsons: Hit &amp; Run"
"17","Friday 12th July 2019 10:57","https://sullygnome.com/channel/liquidwifi/stream/34874618640","243","69984","288","371","12","2","1412","332","The Simpsons: Hit &amp; Run"
"18","Thursday 11th July 2019 11:04","https://sullygnome.com/channel/liquidwifi/stream/34862178864","236","67260","285","394","8","2","797","199","The Simpsons: Hit &amp; Run"
"19","Thursday 11th July 2019 01:08","https://sullygnome.com/channel/liquidwifi/stream/34858161664","157","30301","193","239","2","0","336","134","The Simpsons: Hit &amp; Run"
"20","Wednesday 10th July 2019 10:19","https://sullygnome.com/channel/liquidwifi/stream/34849454112","251","74547","297","383","11","2","784","196","The Simpsons: Hit &amp; Run"
"21","Tuesday 9th July 2019 11:15","https://sullygnome.com/channel/liquidwifi/stream/34837098768","210","60270","287","381","-1","0","846","225","The Simpsons: Hit &amp; Run"
"22","Monday 8th July 2019 10:33","https://sullygnome.com/channel/liquidwifi/stream/34824473168","282","82062","291","344","8","1","1032","217","The Simpsons: Hit &amp; Run"
