"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Fire Emblem: Three Houses","2745","33225","11","26","367","8.021857"
"2","Judgment","1590","17385","9","20","218","8.226415"
"3","Danganronpa 2: Goodbye Despair","1410","13665","7","33","217","9.234042"
"4","Persona 5","1200","13650","9","26","191","9.55"
"5","Marvel Ultimate Alliance 3: The Black Order","1020","9825","7","23","151","8.882352"
"6","FINAL FANTASY VII","735","6570","9","19","101","8.244897"
"7","Persona 3 FES","600","3915","6","12","77","7.7"
"8","Persona 5: Dancing in Starlight","555","4275","7","17","171","18.486486"
"9","Talk Shows & Podcasts","360","2580","7","10","44","7.333333"
"10","Onimusha: Warlords","330","2010","6","11","32","5.818181"
"11","Marvel's Spider-Man","255","2775","11","21","40","9.411764"
"12","Games + Demos","165","1335","8","10","11","4"
"13","Persona 4: Dancing All Night","165","1950","11","25","45","16.363636"
"14","Dragon Warrior IV","150","780","5","8","7","2.8"
"15","Persona 3: Dancing in Moonlight","150","510","3","5","14","5.6"
"16","Super Smash Bros. Ultimate","75","465","6","9","15","12"
