"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Apex Legends","1845","32820","17","32","2450","79.674796"
"2","PUBG: BATTLEGROUNDS","1620","41670","25","41","2047","75.814814"
"3","Marbles on Stream","270","6060","22","38","376","83.555555"
"4","Travel & Outdoors","60","1080","18","22","28","28"
