"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Crash Team Racing Nitro-Fueled","1815","13095","6","18","453","14.975206"
"2","Trover Saves the Universe","315","1320","3","8","116","22.095238"
"3","Judgment","225","585","2","6","42","11.2"
"4","Gato Roboto","165","750","4","8","25","9.090909"
"5","Redeemer","150","405","2","6","28","11.2"
"6","American Fugitive","105","330","3","5","21","12"
"7","Cadence of Hyrule: Crypt of the NecroDancer Featuring the Legend of Zelda","105","300","2","5","10","5.714285"
"8","Tetris Effect","90","300","3","6","13","8.666666"
"9","FIA European Truck Racing Championship","60","450","7","9","9","9"
"10","KILL la KILL: IF","30","300","10","10","6","12"
"11","Super Mario Maker 2","15","30","2","2","0","0"
