"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 06:15","https://sullygnome.com/channel/nimolala/stream/35108346976","60","180","3","8","0","0","9","7","Blade &amp; Soul"
"2","Monday 29th July 2019 06:00","https://sullygnome.com/channel/nimolala/stream/35082690160","45","270","6","11","0","0","13","13","Blade &amp; Soul"
"3","Sunday 28th July 2019 06:32","https://sullygnome.com/channel/nimolala/stream/35071075104","28","84","3","4","0","0","0","0","Blade &amp; Soul"
"4","Saturday 27th July 2019 06:00","https://sullygnome.com/channel/nimolala/stream/35059130448","60","240","4","8","0","0","28","22","Blade &amp; Soul"
"5","Wednesday 24th July 2019 06:30","https://sullygnome.com/channel/nimolala/stream/35023096784","45","135","3","8","0","0","13","13","Blade &amp; Soul"
"6","Tuesday 23rd July 2019 19:15","https://sullygnome.com/channel/nimolala/stream/35016694464","0","0","2","2","0","0","0","0","Blade &amp; Soul"
"7","Tuesday 23rd July 2019 18:23","https://sullygnome.com/channel/nimolala/stream/35016086496","22","66","3","5","0","0","11","22","Blade &amp; Soul"
"8","Tuesday 23rd July 2019 06:00","https://sullygnome.com/channel/nimolala/stream/35010699504","60","240","4","10","0","0","11","8","Blade &amp; Soul"
"9","Monday 22nd July 2019 18:45","https://sullygnome.com/channel/nimolala/stream/35003794624","60","360","6","10","0","0","36","28","Blade &amp; Soul"
"10","Monday 22nd July 2019 06:00","https://sullygnome.com/channel/nimolala/stream/34998331840","45","135","3","5","0","0","19","19","Blade &amp; Soul"
"11","Sunday 21st July 2019 17:58","https://sullygnome.com/channel/nimolala/stream/34991569296","47","141","3","5","0","0","22","29","Blade &amp; Soul"
"12","Sunday 21st July 2019 06:03","https://sullygnome.com/channel/nimolala/stream/34986343392","117","1053","9","13","0","0","60","30","Blade &amp; Soul"
"13","Saturday 20th July 2019 19:30","https://sullygnome.com/channel/nimolala/stream/34980068144","0","0","1","1","0","0","0","0","Blade &amp; Soul"
"14","Saturday 20th July 2019 06:02","https://sullygnome.com/channel/nimolala/stream/34972892800","58","406","7","8","0","0","31","31","Blade &amp; Soul"
"15","Friday 19th July 2019 06:00","https://sullygnome.com/channel/nimolala/stream/34960314736","60","300","5","11","0","0","31","24","Blade &amp; Soul"
"16","Wednesday 17th July 2019 07:11","https://sullygnome.com/channel/nimolala/stream/34935657872","64","512","8","15","0","0","31","24","Blade &amp; Soul"
"17","Tuesday 16th July 2019 18:15","https://sullygnome.com/channel/nimolala/stream/34927824944","60","300","5","8","0","0","23","18","Blade &amp; Soul"
"18","Monday 15th July 2019 05:43","https://sullygnome.com/channel/nimolala/stream/34910239600","62","372","6","10","1","0","26","20","Blade &amp; Soul"
"19","Sunday 14th July 2019 05:45","https://sullygnome.com/channel/nimolala/stream/34897816528","90","450","5","10","0","0","49","28","Blade &amp; Soul"
"20","Friday 12th July 2019 04:32","https://sullygnome.com/channel/nimolala/stream/34872513600","178","1602","9","20","0","0","80","24","Blade &amp; Soul"
"21","Thursday 11th July 2019 18:15","https://sullygnome.com/channel/nimolala/stream/34865951072","135","675","5","8","0","0","51","20","Blade &amp; Soul"
"22","Thursday 11th July 2019 07:00","https://sullygnome.com/channel/nimolala/stream/34860919648","30","120","4","6","0","0","13","17","Blade &amp; Soul"
"23","Sunday 7th July 2019 19:30","https://sullygnome.com/channel/nimolala/stream/34817061264","60","300","5","8","0","0","18","14","Blade &amp; Soul"
"24","Sunday 7th July 2019 05:30","https://sullygnome.com/channel/nimolala/stream/34810379664","120","360","3","7","0","0","31","13","Blade &amp; Soul"
"25","Saturday 6th July 2019 18:45","https://sullygnome.com/channel/nimolala/stream/34804000976","45","135","3","4","1","1","16","16","Blade &amp; Soul"
"26","Friday 5th July 2019 18:24","https://sullygnome.com/channel/nimolala/stream/34791119024","81","648","8","11","0","0","43","34","Blade &amp; Soul"
"27","Friday 5th July 2019 07:15","https://sullygnome.com/channel/nimolala/stream/34786062960","75","150","2","4","1","0","26","17","Blade &amp; Soul"
"28","Thursday 4th July 2019 18:01","https://sullygnome.com/channel/nimolala/stream/34779433264","104","624","6","12","1","0","47","26","Blade &amp; Soul"
"29","Thursday 4th July 2019 07:00","https://sullygnome.com/channel/nimolala/stream/34774501376","75","300","4","6","0","0","23","15","Blade &amp; Soul"
"30","Wednesday 3rd July 2019 18:45","https://sullygnome.com/channel/nimolala/stream/34767554976","105","525","5","17","0","0","52","26","Blade &amp; Soul"
"31","Tuesday 2nd July 2019 18:36","https://sullygnome.com/channel/nimolala/stream/34754788784","144","864","6","11","0","0","48","19","Blade &amp; Soul"
"32","Tuesday 2nd July 2019 07:00","https://sullygnome.com/channel/nimolala/stream/34749275984","75","375","5","6","0","0","19","12","Blade &amp; Soul"
"33","Monday 1st July 2019 18:15","https://sullygnome.com/channel/nimolala/stream/34742073856","120","480","4","6","2","0","50","22","Blade &amp; Soul"
"34","Monday 1st July 2019 06:15","https://sullygnome.com/channel/nimolala/stream/34737040320","60","300","5","10","0","0","18","14","Blade &amp; Soul"
