"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 10:45","https://sullygnome.com/channel/mentertainment/stream/35109875712","135","154305","1143","1415","18","8","21078","9368","Talk Shows &amp; Podcasts"
"2","Tuesday 30th July 2019 10:42","https://sullygnome.com/channel/mentertainment/stream/35096636592","108","285768","2646","3806","20","10","18162","9081","Talk Shows &amp; Podcasts"
"3","Thursday 25th July 2019 10:45","https://sullygnome.com/channel/mentertainment/stream/35036734720","105","141540","1348","1668","8","4","11698","6684","Talk Shows &amp; Podcasts"
"4","Wednesday 24th July 2019 10:46","https://sullygnome.com/channel/mentertainment/stream/35024475824","134","170180","1270","1514","12","5","20119","8941","Talk Shows &amp; Podcasts"
"5","Tuesday 23rd July 2019 10:47","https://sullygnome.com/channel/mentertainment/stream/35012185728","133","416689","3133","3678","35","15","20213","8983","Talk Shows &amp; Podcasts"
"6","Thursday 18th July 2019 10:44","https://sullygnome.com/channel/mentertainment/stream/34949373856","91","140413","1543","1799","18","12","13497","8998","Talk Shows &amp; Podcasts"
"7","Wednesday 17th July 2019 10:48","https://sullygnome.com/channel/mentertainment/stream/34936775056","132","159852","1211","1662","9","4","21831","9702","Talk Shows &amp; Podcasts"
"8","Tuesday 16th July 2019 10:45","https://sullygnome.com/channel/mentertainment/stream/34924120016","120","435840","3632","4888","41","18","22054","9801","Talk Shows &amp; Podcasts"
"9","Tuesday 9th July 2019 11:00","https://sullygnome.com/channel/mentertainment/stream/34836989872","105","400155","3811","5598","47","23","23814","11907","Talk Shows &amp; Podcasts"
"10","Wednesday 3rd July 2019 11:00","https://sullygnome.com/channel/mentertainment/stream/34763183904","120","120480","1004","1211","3","1","14621","6498","Talk Shows &amp; Podcasts"
"11","Tuesday 2nd July 2019 10:48","https://sullygnome.com/channel/mentertainment/stream/34750538416","102","356082","3491","4081","97","55","23331","13332","Talk Shows &amp; Podcasts"
