"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Tom Clancy's Rainbow Six Siege","1620","1620","0","4","88","3.259259"
"2","Call of Duty: Black Ops 4","945","1485","1","5","38","2.412698"
"3","Dead Space (2008)","570","1035","1","3","22","2.315789"
"4","Human: Fall Flat","450","870","1","6","5","0.666666"
"5","The Sinking City","390","795","2","4","25","3.846153"
"6","My Friend Pedro","360","1215","3","5","24","4"
"7","Trover Saves the Universe","270","450","1","5","12","2.666666"
"8","BioShock","240","240","0","3","13","3.25"
"9","Lucius","240","255","1","2","5","1.25"
"10","Just Chatting","105","120","1","3","37","21.142857"
"11","Dead by Daylight","90","225","1","6","3","2"
"12","Raft","75","60","0","1","2","1.6"
"13","Move or Die","75","150","1","3","2","1.6"
"14","StarBreak","30","90","3","3","0","0"
"15","Tomato Way 2","30","150","5","5","1","2"
