"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Borderlands 2","1245","10155","6","42","327","15.759036"
"2","Dead by Daylight","315","2010","6","10","57","10.857142"
"3","Borderlands: The Handsome Collection","120","420","2","6","11","5.5"
