"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","PUBG Mobile","5700","39315","6","23","2451","25.8"
"2","Counter-Strike: Global Offensive","150","375","2","5","30","12"
"3","Life is Strange","135","315","2","6","25","11.111111"
"4","Just Chatting","135","615","3","10","67","29.777777"
"5","Gartic","105","240","2","4","14","8"
"6","Unlisted on Twitch","90","270","2","6","12","8"
"7","Business Tour","45","105","2","3","2","2.666666"
"8","Dead by Daylight","45","180","4","5","17","22.666666"
"9","Tower Unite","30","90","3","4","2","4"
"10","PUBG Mobile","30","285","9","13","17","34"
"11","Party Panic","15","15","1","1","0","0"
"12","Friday the 13th: The Game","15","90","6","6","5","20"
