"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Just Chatting","1800","28425","14","41","2013","67.1"
"2","Forza Horizon 4","1020","14280","13","26","459","27"
"3","Minecraft","960","17415","17","28","516","32.25"
"4","Grand Theft Auto V","345","5355","16","23","191","33.217391"
"5","Tom Clancy's The Division","315","3720","11","18","138","26.285714"
"6","League of Legends","270","3030","11","16","34","7.555555"
"7","Tom Clancy's Ghost Recon: Wildlands","255","2715","10","23","66","15.529411"
"8","Marbles on Stream","225","4590","19","29","160","42.666666"
"9","Alien: Isolation","180","1830","9","13","123","41"
"10","Rocket League","150","3705","24","76","179","71.6"
"11","Pinturillo 2","135","2160","16","21","99","44"
"12","Golf With Your Friends","75","645","8","11","44","35.2"
"13","osu!","60","600","10","12","17","17"
"14","Left 4 Dead 2","45","630","14","15","38","50.666666"
"15","Krunker","15","285","19","19","64","256"
"16","ASMR","15","225","15","15","0","0"
