"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Generation Zero","4110","23730","4","31","763","11.138686"
"2","Dauntless","915","4080","4","9","113","7.409836"
"3","Minecraft","690","4395","5","10","82","7.130434"
"4","Carrier Command: Gaea Mission","435","1155","2","6","34","4.689655"
"5","Warframe","390","1440","2","8","50","7.692307"
"6","Empathy: Path of Whispers","315","1785","5","12","52","9.904761"
"7","Outpost Zero","285","1590","5","10","38","8"
"8","KURSK","240","1830","7","11","49","12.25"
"9","Mewnbase","165","780","4","6","19","6.90909"
"10","Fear the Wolves","75","255","3","5","5","4"
"11","Games + Demos","75","90","1","2","9","7.2"
"12","Flix and Chill","60","75","1","2","7","7"
"13","Caligo","45","135","3","4","3","4"
"14","Virginia","45","120","2","3","4","5.333333"
"15","Sunset Rangers","45","45","1","1","7","9.333333"
"16","Road to Eden","45","90","2","3","4","5.333333"
"17","1 Screen Platformer","15","60","4","4","0","0"
"18","The Cycle","15","75","5","5","2","8"
"19","Realm Royale Reforged","15","90","6","6","0","0"
