"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Brawlhalla","1545","10755","6","14","560","21.747572"
"2","Zula","405","2370","5","12","78","11.555555"
"3","Just Chatting","285","1515","5","12","132","27.789473"
"4","Minecraft","180","1485","7","12","59","19.666666"
"5","Gartic","150","1485","9","13","54","21.6"
"6","Geometry Dash","135","765","6","9","21","9.333333"
"7","StopotS","105","825","8","10","26","14.857142"
"8","A Story About My Uncle","60","210","3","4","16","16"
"9","osu!","60","255","3","7","19","19"
"10","Dark Deception","60","420","7","11","45","45"
"11","Ironsight","45","150","3","5","15","20"
"12","Words On Stream","45","435","10","13","25","33.333333"
"13","Counter-Strike","30","255","8","9","5","10"
