"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Just Chatting","5745","63960","9","628","2086","21.7859"
"2","Bloodstained: Ritual of the Night","945","4245","3","9","106","6.730158"
"3","Legends of Aria","315","1140","3","7","100","19.047619"
"4","Forager","135","690","5","6","11","4.888888"
"5","Wolcen: Lords of Mayhem","105","615","5","11","31","17.714285"
"6","Dark Souls","60","75","1","2","9","9"
"7","Emberlight","30","45","1","2","0","0"
