"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Apex Legends","480","3285","6","10","42","5.25"
"2","Call of Duty: Black Ops 4","435","6405","10","56","81","11.172413"
"3","Marvel Ultimate Alliance 3: The Black Order","360","1215","2","8","22","3.666666"
"4","A Hat in Time","165","2415","14","24","53","19.272727"
"5","UNO","150","1575","10","12","32","12.8"
"6","Games + Demos","135","1515","11","16","31","13.777777"
"7","Twitch Sings","120","1485","12","18","40","20"
"8","Retro","105","2265","21","39","43","24.571428"
"9","Def Jam: Fight for NY","105","495","3","8","12","6.857142"
"10","Planet Coaster","105","840","8","16","20","11.428571"
"11","Dragon Ball FighterZ","90","195","2","3","9","6"
"12","Mario Party 4","60","735","12","13","2","2"
"13","Bloodborne","60","585","9","12","27","27"
"14","Ultimate Marvel vs. Capcom 3","60","195","3","5","3","3"
"15","SAMURAI SHODOWN","15","60","4","4","3","12"
"16","Just Chatting","15","15","1","1","28","112"
