"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Wednesday 31st July 2019 00:10","https://sullygnome.com/channel/praetor19/stream/35104762336","410","6970","17","31","2","0","298","44","Blade &amp; Soul"
"2","Tuesday 30th July 2019 00:18","https://sullygnome.com/channel/praetor19/stream/35092150224","357","3213","9","19","-2","0","233","37","Blade &amp; Soul"
"3","Sunday 28th July 2019 17:42","https://sullygnome.com/channel/praetor19/stream/35075868912","768","11520","15","28","-2","0","602","46","Blade &amp; Soul"
"4","Saturday 27th July 2019 18:25","https://sullygnome.com/channel/praetor19/stream/35064463632","830","12450","15","28","1","0","669","48","Blade &amp; Soul"
"5","Saturday 27th July 2019 00:18","https://sullygnome.com/channel/praetor19/stream/35056193376","702","10530","15","30","3","0","692","57","Blade &amp; Soul"
"6","Friday 26th July 2019 00:13","https://sullygnome.com/channel/praetor19/stream/35044280336","422","4220","10","19","1","0","244","34","Blade &amp; Soul"
"7","Thursday 25th July 2019 00:13","https://sullygnome.com/channel/praetor19/stream/35032209856","497","4473","9","27","0","0","305","39","Blade &amp; Soul"
"8","Wednesday 24th July 2019 00:14","https://sullygnome.com/channel/praetor19/stream/35019999456","361","4693","13","22","-1","0","198","31","Blade &amp; Soul"
"9","Tuesday 23rd July 2019 00:18","https://sullygnome.com/channel/praetor19/stream/35007651952","492","4428","9","16","-1","0","417","49","Blade &amp; Soul"
"10","Sunday 21st July 2019 21:56","https://sullygnome.com/channel/praetor19/stream/34994272288","544","6528","12","31","1","0","290","32","Blade &amp; Soul,They Are Billions"
"11","Sunday 21st July 2019 03:36","https://sullygnome.com/channel/praetor19/stream/34985273088","279","3627","13","23","1","0","208","43","Blade &amp; Soul"
"12","Saturday 20th July 2019 18:27","https://sullygnome.com/channel/praetor19/stream/34979547808","438","7884","18","27","-2","0","405","54","Blade &amp; Soul"
"13","Saturday 20th July 2019 00:12","https://sullygnome.com/channel/praetor19/stream/34969666144","423","3384","8","18","1","0","234","32","Blade &amp; Soul"
"14","Friday 19th July 2019 00:13","https://sullygnome.com/channel/praetor19/stream/34957225536","392","3920","10","18","-1","0","241","37","Blade &amp; Soul"
"15","Thursday 18th July 2019 00:07","https://sullygnome.com/channel/praetor19/stream/34944718192","293","1465","5","13","0","0","101","20","Blade &amp; Soul,Destiny 2"
"16","Wednesday 17th July 2019 00:20","https://sullygnome.com/channel/praetor19/stream/34932236112","385","3465","9","23","1","0","195","30","Blade &amp; Soul"
"17","Tuesday 16th July 2019 00:29","https://sullygnome.com/channel/praetor19/stream/34919779344","256","2304","9","17","-1","0","170","37","Blade &amp; Soul"
"18","Sunday 14th July 2019 22:27","https://sullygnome.com/channel/praetor19/stream/34906452784","498","3984","8","17","-3","0","235","28","Blade &amp; Soul,Destiny 2"
"19","Saturday 13th July 2019 18:29","https://sullygnome.com/channel/praetor19/stream/34891276864","841","11774","14","28","-3","0","559","39","Blade &amp; Soul,Destiny 2"
"20","Friday 12th July 2019 23:59","https://sullygnome.com/channel/praetor19/stream/34882250624","571","2855","5","15","-1","0","204","21","Blade &amp; Soul,Destiny 2"
"21","Friday 12th July 2019 01:31","https://sullygnome.com/channel/praetor19/stream/34869830640","359","6462","18","37","1","0","372","48","Blade &amp; Soul"
"22","Thursday 11th July 2019 00:00","https://sullygnome.com/channel/praetor19/stream/34857402304","450","2250","5","10","-2","0","145","19","Blade &amp; Soul,Destiny 2"
"23","Wednesday 10th July 2019 00:08","https://sullygnome.com/channel/praetor19/stream/34844959776","382","4584","12","28","2","0","180","28","Blade &amp; Soul,Destiny 2"
"24","Monday 8th July 2019 23:58","https://sullygnome.com/channel/praetor19/stream/34832329568","452","4068","9","24","2","0","241","31","Blade &amp; Soul,Destiny 2"
"25","Sunday 7th July 2019 22:07","https://sullygnome.com/channel/praetor19/stream/34818981584","458","8244","18","29","-2","0","418","53","Blade &amp; Soul"
"26","Saturday 6th July 2019 18:29","https://sullygnome.com/channel/praetor19/stream/34803881008","811","15409","19","34","2","0","696","50","Blade &amp; Soul,Destiny 2"
"27","Saturday 6th July 2019 00:12","https://sullygnome.com/channel/praetor19/stream/34795022016","333","2997","9","16","-2","0","191","33","Blade &amp; Soul"
"28","Friday 5th July 2019 00:13","https://sullygnome.com/channel/praetor19/stream/34783210016","422","8018","19","36","1","0","366","50","Blade &amp; Soul"
"29","Thursday 4th July 2019 00:01","https://sullygnome.com/channel/praetor19/stream/34771032096","404","4444","11","19","0","0","252","37","Blade &amp; Soul"
"30","Wednesday 3rd July 2019 00:04","https://sullygnome.com/channel/praetor19/stream/34758544448","356","2136","6","17","0","0","110","18","Blade &amp; Soul,Destiny 2"
"31","Tuesday 2nd July 2019 00:07","https://sullygnome.com/channel/praetor19/stream/34746055568","428","2996","7","15","-1","0","149","20","Blade &amp; Soul,Destiny 2"
