"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Pokémon: Let's Go, Pikachu!","2190","3033435","1361","2261","70514","1931.89041"
"2","Super Mario Maker 2","570","1117020","1953","3278","21631","2276.947368"
"3","Marvel Ultimate Alliance 3: The Black Order","345","1052190","1908","3630","11539","2006.782608"
"4","Dauntless","330","377715","1144","1332","9009","1638"
"5","Tabletop Simulator","240","746295","3109","3186","11015","2753.75"
"6","Just Chatting","240","456480","1798","3444","30357","7589.25"
"7","Tetris Effect","225","326580","1497","2656","9210","2456"
"8","Descenders","195","383835","2430","3416","7940","2443.076923"
"9","The Blackout Club","180","319845","1776","2351","5515","1838.333333"
"10","Iratus: Lord of the Dead","135","180015","1333","1380","3125","1388.888888"
"11","The Pirate's Fate","135","436860","3236","3308","2990","1328.888888"
"12","Garry's Mod","135","470055","3481","3664","6033","2681.333333"
"13","Unravel Two","135","217125","1608","1974","3597","1598.666666"
"14","Of Guards and Thieves","120","410850","3423","3645","3032","1516"
"15","Ring of Elysium","105","157080","1496","1536","3131","1789.142857"
"16","Merchant of the Skies","105","135360","1289","1486","2936","1677.714285"
"17","TETRIS 99","60","134190","2236","2687","3491","3491"
"18","Dragon Quest Builders 2","60","69660","1161","1494","2039","2039"
"19","PULSAR: Lost Colony","45","115110","2558","2802","4357","5809.333333"
"20","Tribes of Midgard","45","137250","3050","3113","2017","2689.333333"
"21","Codename CURE","30","100725","3357","3360","1011","2022"
"22","Mario Party 2","15","31260","2084","2084","2076","8304"
"23","Super Mario Maker","15","23385","1559","1559","1668","6672"
