"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Fortnite","8715","108780","11","40","2404","16.550774"
"2","Minecraft","960","8040","8","13","192","12"
"3","Tom Clancy's Rainbow Six Siege","810","7170","7","16","243","18"
"4","Apex Legends","795","6210","7","17","113","8.528301"
"5","Batman: Arkham Knight","285","2625","9","15","63","13.263157"
"6","FINAL FANTASY XIV ONLINE","210","945","4","7","27","7.714285"
"7","Limbo","150","1245","8","10","27","10.8"
"8","ROBLOX","150","1665","11","16","47","18.8"
"9","The Last of Us","135","1170","8","15","19","8.444444"
"10","Marvel's Spider-Man","120","1785","14","22","30","15"
"11","The Cycle","45","735","16","17","25","33.333333"
"12","The Evil Within 2","45","255","5","7","5","6.666666"
"13","Hunt: Showdown","15","105","7","7","0","0"
