"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","The Sinking City","765","3405","5","11","75","5.882352"
"2","Planet Coaster","420","1440","3","7","26","3.714285"
"3","Hellblade: Senua's Sacrifice","285","855","2","7","26","5.473684"
"4","Shenmue II","240","1080","4","8","23","5.75"
"5","The Forest","195","1935","7","24","102","31.384615"
"6","Middle-earth: Shadow of War","180","735","4","5","21","7"
"7","Dead by Daylight","180","825","4","9","33","11"
"8","Wolfenstein II: The New Colossus","180","720","4","5","30","10"
"9","Just Chatting","165","690","3","8","30","10.90909"
"10","Forza Horizon 4","150","840","4","9","16","6.4"
"11","Teamfight Tactics","120","315","2","7","9","4.5"
"12","Surviving Mars","120","420","3","5","13","6.5"
"13","Zoo Tycoon: Ultimate Animal Collection","105","330","2","4","14","8"
"14","Party Hard 2","90","210","2","4","9","6"
"15","Apex Legends","90","195","2","3","14","9.333333"
"16","Esports Life Tycoon","90","165","1","3","8","5.333333"
"17","My Friend Pedro","75","645","8","10","8","6.4"
"18","Shadow Tactics: Blades of the Shogun","60","90","1","3","0","0"
"19","PC Building Simulator","60","225","3","5","8","8"
"20","Star Wars: The Force Unleashed","60","210","3","7","5","5"
"21","Hello Neighbor","45","150","3","5","7","9.333333"
"22","RollerCoaster Tycoon 3","45","90","2","2","4","5.333333"
"23","Shenmue I & II","30","30","1","1","9","18"
"24","Worms Reloaded","30","165","5","6","3","6"
"25","Backbone","15","60","4","4","2","8"
