"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Minecraft","780","2520","2","8","96","7.384615"
"2","osu!","105","180","1","5","0","0"
"3","League of Legends","30","105","3","4","1","2"
