"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Just Chatting","1530","20130","11","28","1040","40.784313"
"2","League of Legends","525","5295","9","16","197","22.514285"
"3","MapleStory","510","8910","15","28","417","49.058823"
"4","Raft","390","4275","10","18","115","17.692307"
"5","Left 4 Dead 2","165","1695","10","14","77","28"
"6","The Forest","135","1425","10","18","30","13.333333"
"7","KKuTu Korea","105","1335","11","16","48","27.428571"
"8","Minecraft","90","1395","14","22","61","40.666666"
"9","Cubikolor","75","870","11","12","26","20.8"
"10","Gorogoa","60","780","13","15","22","22"
"11","Human: Fall Flat","60","870","14","16","42","42"
"12","Layers of Fear 2","60","465","7","10","23","23"
"13","Last Man Standing","45","750","16","20","42","56"
"14","Teamfight Tactics","15","225","15","15","10","40"
"15","Tricky Towers","15","180","12","12","0","0"
"16","Overcooked!","15","240","16","16","0","0"
