"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Call of Duty: Black Ops 4","2415","123600","44","106","1236","30.708074"
"2","Apex Legends","1260","50475","42","92","460","21.904761"
"3","Magic: The Gathering","1140","38715","30","97","587","30.894736"
"4","Gears 5","795","44895","55","113","519","39.169811"
"5","Deceit","420","15930","37","55","202","28.857142"
"6","Sea of Thieves","255","10680","48","73","94","22.117647"
"7","UNO","180","5100","28","41","42","14"
"8","The Jackbox Party Pack 5","165","9015","39","79","358","130.181818"
"9","Unlisted on Twitch","150","6135","44","92","135","54"
"10","World War Z","90","4455","49","63","27","18"
"11","SCP: Containment Breach","75","1935","25","40","20","16"
"12","Dead Space 3","60","1530","25","29","8","8"
"13","Kraven Manor","45","1965","43","47","42","56"
"14","Just Chatting","30","180","6","7","10","20"
"15","Makers & Crafting","30","720","24","25","14","28"
"16","Magic: The Gathering Arena","15","315","21","21","8","32"
